ags,municipality_name,source,fragment_count,wahlkreis_count,wahlkreis_ids
13103006,Bad Breisig,official-state-portal-2021-tree,1,1,113
13103014,Brohl-Lützing,official-state-portal-2021-tree,1,1,113
13103025,Gönnersdorf,official-state-portal-2021-tree,1,1,113
13103081,Waldorf,official-state-portal-2021-tree,1,1,113
13104016,Dedenbach,official-state-portal-2021-tree,1,1,113
13104041,Königsfeld,official-state-portal-2021-tree,1,1,113
13104054,Niederdürenbach,official-state-portal-2021-tree,1,1,113
13104055,Niederzissen,official-state-portal-2021-tree,1,1,113
13104059,Oberdürenbach,official-state-portal-2021-tree,1,1,113
13104060,Oberzissen,official-state-portal-2021-tree,1,1,113
13104073,Schalkenbach,official-state-portal-2021-tree,1,1,113
13104201,Brenk,official-state-portal-2021-tree,1,1,113
13104202,Burgbrohl,official-state-portal-2021-tree,1,1,113
13104204,Galenberg,official-state-portal-2021-tree,1,1,113
13104205,Glees,official-state-portal-2021-tree,1,1,113
13104206,Hohenleimbach,official-state-portal-2021-tree,1,1,113
13104208,Spessart,official-state-portal-2021-tree,1,1,113
13104209,Wassenach,official-state-portal-2021-tree,1,1,113
13104210,Wehr,official-state-portal-2021-tree,1,1,113
13104211,Weibern,official-state-portal-2021-tree,1,1,113
13104502,Kempenich,official-state-portal-2021-tree,1,1,113
13203018,Daaden,official-state-portal-2021-tree,1,1,101
13203019,Derschen,official-state-portal-2021-tree,1,1,101
13203026,Emmerzhausen,official-state-portal-2021-tree,1,1,101
13203036,Friedewald,official-state-portal-2021-tree,1,1,101
13203050,"Herdorf, Stadt",official-state-portal-2021-tree,1,1,101
13203068,Mauden,official-state-portal-2021-tree,1,1,101
13203075,Niederdreisbach,official-state-portal-2021-tree,1,1,101
13203079,Nisterberg,official-state-portal-2021-tree,1,1,101
13203101,Schutzbach,official-state-portal-2021-tree,1,1,101
13203113,Weitefeld,official-state-portal-2021-tree,1,1,101
13206007,Birkenbeul,official-state-portal-2021-tree,1,1,102
13206010,Bitzen,official-state-portal-2021-tree,1,1,102
13206013,Breitscheidt,official-state-portal-2021-tree,1,1,102
13206014,Bruchertseifen,official-state-portal-2021-tree,1,1,102
13206028,Etzbach,official-state-portal-2021-tree,1,1,102
13206034,Forst,official-state-portal-2021-tree,1,1,102
13206038,Fürthen,official-state-portal-2021-tree,1,1,102
13206044,Hamm (Sieg),official-state-portal-2021-tree,1,1,102
13206077,Niederirsen,official-state-portal-2021-tree,1,1,102
13206091,Pracht,official-state-portal-2021-tree,1,1,102
13206096,Roth,official-state-portal-2021-tree,1,1,102
13206102,Seelbach bei Hamm (Sieg),official-state-portal-2021-tree,1,1,102
13207012,Brachbach,official-state-portal-2021-tree,1,1,101
13207037,Friesenhagen,official-state-portal-2021-tree,1,1,101
13207045,Harbach,official-state-portal-2021-tree,1,1,101
13207063,Kirchen (Sieg),official-state-portal-2021-tree,1,1,101
13207072,Mudersbach,official-state-portal-2021-tree,1,1,101
13207076,Niederfischbach,official-state-portal-2021-tree,1,1,101
13208008,Birken-Honigsessen,official-state-portal-2021-tree,1,1,102
13208011,Mittelhof,official-state-portal-2021-tree,1,1,102
13208054,Hövels,official-state-portal-2021-tree,1,1,102
13208080,Katzwinkel (Sieg),official-state-portal-2021-tree,1,1,102
13208105,Selbach (Sieg),official-state-portal-2021-tree,1,1,102
13208117,Wissen,official-state-portal-2021-tree,1,1,102
13209002,Alsdorf,official-state-portal-2021-tree,1,1,101
13209006,Betzdorf,official-state-portal-2021-tree,1,1,101
13209020,Dickendorf,official-state-portal-2021-tree,1,1,102
13209024,Elben,official-state-portal-2021-tree,1,1,102
13209025,Elkenroth,official-state-portal-2021-tree,1,1,102
13209030,Fensdorf,official-state-portal-2021-tree,1,1,102
13209039,Gebhardshain,official-state-portal-2021-tree,1,1,102
13209042,Grünebach,official-state-portal-2021-tree,1,1,101
13209059,Kausen,official-state-portal-2021-tree,1,1,102
13209066,Malberg,official-state-portal-2021-tree,1,1,102
13209071,Molzhain,official-state-portal-2021-tree,1,1,102
13209073,Nauroth,official-state-portal-2021-tree,1,1,102
13209095,Rosenheim (Landkreis Altenkirchen),official-state-portal-2021-tree,1,1,102
13209098,Scheuerfeld,official-state-portal-2021-tree,1,1,101
13209107,Steinebach (Sieg),official-state-portal-2021-tree,1,1,102
13209108,Steineroth,official-state-portal-2021-tree,1,1,102
13209111,Wallmenroth,official-state-portal-2021-tree,1,1,101
13210001,Almersbach,official-state-portal-2021-tree,1,1,102
13210004,Bachenberg,official-state-portal-2021-tree,1,1,102
13210005,Berzhausen,official-state-portal-2021-tree,1,1,102
13210009,Birnbach,official-state-portal-2021-tree,1,1,102
13210015,Bürdenbach,official-state-portal-2021-tree,1,1,102
13210016,Burglahr,official-state-portal-2021-tree,1,1,102
13210017,Busenhausen,official-state-portal-2021-tree,1,1,102
13210022,Eichelhardt,official-state-portal-2021-tree,1,1,102
13210023,Eichen,official-state-portal-2021-tree,1,1,102
13210027,Ersfeld,official-state-portal-2021-tree,1,1,102
13210029,Eulenberg,official-state-portal-2021-tree,1,1,102
13210031,Fiersbach,official-state-portal-2021-tree,1,1,102
13210032,Flammersfeld,official-state-portal-2021-tree,1,1,102
13210033,Fluterschen,official-state-portal-2021-tree,1,1,102
13210035,Forstmehren,official-state-portal-2021-tree,1,1,102
13210040,Gieleroth,official-state-portal-2021-tree,1,1,102
13210041,Giershausen,official-state-portal-2021-tree,1,1,102
13210043,Güllesheim,official-state-portal-2021-tree,1,1,102
13210046,Hasselbach,official-state-portal-2021-tree,1,1,102
13210047,Helmenzen,official-state-portal-2021-tree,1,1,102
13210048,Helmeroth,official-state-portal-2021-tree,1,1,102
13210049,Hemmelzen,official-state-portal-2021-tree,1,1,102
13210051,Heupelzen,official-state-portal-2021-tree,1,1,102
13210052,Hilgenroth,official-state-portal-2021-tree,1,1,102
13210053,Hirz-Maulsbach,official-state-portal-2021-tree,1,1,102
13210055,Horhausen (Westerwald),official-state-portal-2021-tree,1,1,102
13210056,Idelberg,official-state-portal-2021-tree,1,1,102
13210057,Ingelbach,official-state-portal-2021-tree,1,1,102
13210058,Isert,official-state-portal-2021-tree,1,1,102
13210060,Kescheid,official-state-portal-2021-tree,1,1,102
13210061,Kettenhausen,official-state-portal-2021-tree,1,1,102
13210062,Kircheib,official-state-portal-2021-tree,1,1,102
13210064,Kraam,official-state-portal-2021-tree,1,1,102
13210065,Krunkel,official-state-portal-2021-tree,1,1,102
13210067,Mammelzen,official-state-portal-2021-tree,1,1,102
13210069,Mehren,official-state-portal-2021-tree,1,1,102
13210070,Michelbach (Westerwald),official-state-portal-2021-tree,1,1,102
13210078,Niedersteinebach,official-state-portal-2021-tree,1,1,102
13210081,Obererbach (Westerwald),official-state-portal-2021-tree,1,1,102
13210082,Oberirsen,official-state-portal-2021-tree,1,1,102
13210083,Oberlahr,official-state-portal-2021-tree,1,1,102
13210085,Obersteinebach,official-state-portal-2021-tree,1,1,102
13210086,Oberwambach,official-state-portal-2021-tree,1,1,102
13210087,Ölsen,official-state-portal-2021-tree,1,1,102
13210088,Orfgen,official-state-portal-2021-tree,1,1,102
13210089,Peterslahr,official-state-portal-2021-tree,1,1,102
13210090,Pleckhausen,official-state-portal-2021-tree,1,1,102
13210092,Racksen,official-state-portal-2021-tree,1,1,102
13210093,Reiferscheid,official-state-portal-2021-tree,1,1,102
13210094,Rettersen,official-state-portal-2021-tree,1,1,102
13210097,Rott,official-state-portal-2021-tree,1,1,102
13210099,Schöneberg,official-state-portal-2021-tree,1,1,102
13210100,Schürdt,official-state-portal-2021-tree,1,1,102
13210103,Seelbach (Westerwald),official-state-portal-2021-tree,1,1,102
13210104,Seifen,official-state-portal-2021-tree,1,1,102
13210106,Sörth,official-state-portal-2021-tree,1,1,102
13210109,Stürzelbach,official-state-portal-2021-tree,1,1,102
13210110,Volkerzen,official-state-portal-2021-tree,1,1,102
13210112,Walterschen,official-state-portal-2021-tree,1,1,102
13210114,Werkhausen,official-state-portal-2021-tree,1,1,102
13210115,Weyerbusch,official-state-portal-2021-tree,1,1,102
13210116,Willroth,official-state-portal-2021-tree,1,1,102
13210118,Wölmersen,official-state-portal-2021-tree,1,1,102
13210119,Ziegenhain,official-state-portal-2021-tree,1,1,102
13210201,Berod bei Hachenburg,official-state-portal-2021-tree,1,1,102
13210501,Altenkirchen (Westerwald),official-state-portal-2021-tree,1,1,102
13210502,Neitersen,official-state-portal-2021-tree,1,1,102
13300006,Bad Kreuznach,official-state-portal-2021-tree,6,1,217
13301003,Altenbamberg,official-state-portal-2021-tree,1,1,217
13301012,Biebelsheim,official-state-portal-2021-tree,1,1,217
13301030,Feilbingert,official-state-portal-2021-tree,1,1,217
13301031,Frei-Laubersheim,official-state-portal-2021-tree,1,1,217
13301032,Fürfeld,official-state-portal-2021-tree,1,1,217
13301037,Hackenheim,official-state-portal-2021-tree,1,1,217
13301039,Hallgarten,official-state-portal-2021-tree,1,1,217
13301045,Hochstätten,official-state-portal-2021-tree,1,1,217
13301069,Neu-Bamberg,official-state-portal-2021-tree,1,1,217
13301078,Pfaffen-Schwabenheim,official-state-portal-2021-tree,1,1,217
13301080,Pleitersheim,official-state-portal-2021-tree,1,1,217
13301104,Tiefenthal,official-state-portal-2021-tree,1,1,217
13301106,Volxheim,official-state-portal-2021-tree,1,1,217
13306002,Allenfeld,official-state-portal-2021-tree,1,1,218
13306004,Argenschwang,official-state-portal-2021-tree,1,1,218
13306013,Bockenau,official-state-portal-2021-tree,1,1,218
13306014,Boos,official-state-portal-2021-tree,1,1,218
13306015,Braunweiler,official-state-portal-2021-tree,1,1,218
13306019,Burgsponheim,official-state-portal-2021-tree,1,1,218
13306021,Dalberg,official-state-portal-2021-tree,1,1,218
13306027,Duchroth,official-state-portal-2021-tree,1,1,217
13306033,Gebroth,official-state-portal-2021-tree,1,1,218
13306036,Gutenberg,official-state-portal-2021-tree,1,1,218
13306040,Hargesheim,official-state-portal-2021-tree,1,1,218
13306044,Hergenfeld,official-state-portal-2021-tree,1,1,218
13306048,Hüffelsheim,official-state-portal-2021-tree,1,1,218
13306061,Mandel,official-state-portal-2021-tree,1,1,218
13306068,Münchwald,official-state-portal-2021-tree,1,1,218
13306070,Niederhausen,official-state-portal-2021-tree,1,1,217
13306071,Norheim,official-state-portal-2021-tree,1,1,217
13306074,Oberhausen an der Nahe,official-state-portal-2021-tree,1,1,217
13306075,Oberstreit,official-state-portal-2021-tree,1,1,218
13306086,Roxheim,official-state-portal-2021-tree,1,1,218
13306088,Sankt Katharinen,official-state-portal-2021-tree,1,1,218
13306089,Schloßböckelheim,official-state-portal-2021-tree,1,1,218
13306098,Sommerloch,official-state-portal-2021-tree,1,1,218
13306099,Spabrücken,official-state-portal-2021-tree,1,1,218
13306100,Spall,official-state-portal-2021-tree,1,1,218
13306101,Sponheim,official-state-portal-2021-tree,1,1,218
13306105,Traisen,official-state-portal-2021-tree,1,1,217
13306107,Waldböckelheim,official-state-portal-2021-tree,1,1,218
13306109,Wallhausen,official-state-portal-2021-tree,1,1,218
13306112,Weinsheim,official-state-portal-2021-tree,1,1,218
13306115,Winterbach,official-state-portal-2021-tree,1,1,218
13306117,Rüdesheim,official-state-portal-2021-tree,1,1,218
13309008,Bärenbach,official-state-portal-2021-tree,1,1,218
13309010,Becherbach bei Kirn,official-state-portal-2021-tree,1,1,218
13309016,Brauweiler,official-state-portal-2021-tree,1,1,218
13309038,Hahnenbach,official-state-portal-2021-tree,1,1,218
13309041,Heimweiler,official-state-portal-2021-tree,1,1,218
13309042,Heinzenberg,official-state-portal-2021-tree,1,1,218
13309043,Hennweiler,official-state-portal-2021-tree,1,1,218
13309046,Hochstetten-Dhaun,official-state-portal-2021-tree,1,1,218
13309047,Horbach,official-state-portal-2021-tree,1,1,218
13309052,Kirn,official-state-portal-2021-tree,1,1,218
13309059,Limbach,official-state-portal-2021-tree,1,1,218
13309063,Meckenbach,official-state-portal-2021-tree,1,1,218
13309073,Oberhausen,official-state-portal-2021-tree,1,1,218
13309077,Otzweiler,official-state-portal-2021-tree,1,1,218
13309096,Simmertal,official-state-portal-2021-tree,1,1,218
13309113,Weitersborn,official-state-portal-2021-tree,1,1,218
13309201,Bruschied,official-state-portal-2021-tree,1,1,218
13309202,Kellenbach,official-state-portal-2021-tree,1,1,218
13309203,Königsau,official-state-portal-2021-tree,1,1,218
13309204,Schneppenbach,official-state-portal-2021-tree,1,1,218
13309205,Schwarzerden,official-state-portal-2021-tree,1,1,218
13310001,Abtweiler,official-state-portal-2021-tree,1,1,218
13310005,Auen,official-state-portal-2021-tree,1,1,218
13310009,Bärweiler,official-state-portal-2021-tree,1,1,218
13310011,Becherbach,official-state-portal-2021-tree,1,1,218
13310017,Breitenheim,official-state-portal-2021-tree,1,1,218
13310020,Callbach,official-state-portal-2021-tree,1,1,218
13310022,Daubach,official-state-portal-2021-tree,1,1,218
13310024,Desloch,official-state-portal-2021-tree,1,1,218
13310049,Hundsbach,official-state-portal-2021-tree,1,1,218
13310050,Ippenschied,official-state-portal-2021-tree,1,1,218
13310051,Jeckenbach,official-state-portal-2021-tree,1,1,218
13310053,Kirschroth,official-state-portal-2021-tree,1,1,218
13310055,Langenthal,official-state-portal-2021-tree,1,1,218
13310057,Lauschied,official-state-portal-2021-tree,1,1,218
13310058,Lettweiler,official-state-portal-2021-tree,1,1,218
13310060,Löllbach,official-state-portal-2021-tree,1,1,218
13310062,Martinstein,official-state-portal-2021-tree,1,1,218
13310064,Meddersheim,official-state-portal-2021-tree,1,1,218
13310065,Meisenheim,official-state-portal-2021-tree,1,1,218
13310066,Merxheim,official-state-portal-2021-tree,1,1,218
13310067,Monzingen,official-state-portal-2021-tree,1,1,218
13310072,Nußbaum,official-state-portal-2021-tree,1,1,218
13310076,Odernheim am Glan,official-state-portal-2021-tree,1,1,218
13310081,Raumbach,official-state-portal-2021-tree,1,1,218
13310082,Rehbach,official-state-portal-2021-tree,1,1,218
13310083,Rehborn,official-state-portal-2021-tree,1,1,218
13310084,Reiffelbach,official-state-portal-2021-tree,1,1,218
13310090,Schmittweiler,official-state-portal-2021-tree,1,1,218
13310092,Schweinschied,official-state-portal-2021-tree,1,1,218
13310094,Seesbach,official-state-portal-2021-tree,1,1,218
13310102,Staudernheim,official-state-portal-2021-tree,1,1,218
13310111,Weiler bei Monzingen,official-state-portal-2021-tree,1,1,218
13310116,Winterburg,official-state-portal-2021-tree,1,1,218
13310501,Bad Sobernheim,official-state-portal-2021-tree,1,1,218
13311018,Bretzenheim,official-state-portal-2021-tree,1,1,217
13311023,Daxweiler,official-state-portal-2021-tree,1,1,217
13311025,Dörrebach,official-state-portal-2021-tree,1,1,217
13311026,Dorsheim,official-state-portal-2021-tree,1,1,217
13311028,Eckenroth,official-state-portal-2021-tree,1,1,217
13311035,Guldental,official-state-portal-2021-tree,1,1,217
13311054,Langenlonsheim,official-state-portal-2021-tree,1,1,217
13311056,Laubenheim,official-state-portal-2021-tree,1,1,217
13311085,Roth,official-state-portal-2021-tree,1,1,217
13311087,Rümmelsheim,official-state-portal-2021-tree,1,1,217
13311091,Schöneberg,official-state-portal-2021-tree,1,1,217
13311093,Schweppenhausen,official-state-portal-2021-tree,1,1,217
13311095,Seibersbach,official-state-portal-2021-tree,1,1,217
13311103,Stromberg,official-state-portal-2021-tree,1,1,217
13311108,Waldlaubersheim,official-state-portal-2021-tree,1,1,217
13311110,Warmsroth,official-state-portal-2021-tree,1,1,217
13311114,Windesheim,official-state-portal-2021-tree,1,1,217
13400045,Idar-Oberstein,official-state-portal-2021-tree,13,1,219
13401005,Baumholder,official-state-portal-2021-tree,1,1,219
13401007,Berglangenbach,official-state-portal-2021-tree,1,1,219
13401008,Berschweiler bei Baumholder,official-state-portal-2021-tree,1,1,219
13401021,Eckersweiler,official-state-portal-2021-tree,1,1,219
13401026,Fohren-Linden,official-state-portal-2021-tree,1,1,219
13401027,Frauenberg,official-state-portal-2021-tree,1,1,219
13401033,Hahnweiler,official-state-portal-2021-tree,1,1,219
13401036,Heimbach,official-state-portal-2021-tree,1,1,219
13401051,Leitzweiler,official-state-portal-2021-tree,1,1,219
13401054,Mettweiler,official-state-portal-2021-tree,1,1,219
13401068,Reichenbach,official-state-portal-2021-tree,1,1,219
13401073,Rohrbach,official-state-portal-2021-tree,1,1,219
13401074,Rückweiler,official-state-portal-2021-tree,1,1,219
13401075,Ruschberg,official-state-portal-2021-tree,1,1,219
13402001,Abentheuer,official-state-portal-2021-tree,1,1,219
13402002,Achtelsbach,official-state-portal-2021-tree,1,1,219
13402010,Birkenfeld,official-state-portal-2021-tree,1,1,219
13402011,Börfink,official-state-portal-2021-tree,1,1,219
13402015,Brücken,official-state-portal-2021-tree,1,1,219
13402016,Buhlenberg,official-state-portal-2021-tree,1,1,219
13402018,Dambach,official-state-portal-2021-tree,1,1,219
13402020,Dienstweiler,official-state-portal-2021-tree,1,1,219
13402022,Elchweiler,official-state-portal-2021-tree,1,1,219
13402023,Ellenberg,official-state-portal-2021-tree,1,1,219
13402024,Ellweiler,official-state-portal-2021-tree,1,1,219
13402029,Gimbweiler,official-state-portal-2021-tree,1,1,219
13402031,Gollenberg,official-state-portal-2021-tree,1,1,219
13402034,Hattgenstein,official-state-portal-2021-tree,1,1,219
13402042,Hoppstädten-Weiersbach,official-state-portal-2021-tree,1,1,219
13402048,Kronweiler,official-state-portal-2021-tree,1,1,219
13402050,Leisel,official-state-portal-2021-tree,1,1,219
13402053,Meckenbach,official-state-portal-2021-tree,1,1,219
13402057,Niederbrombach,official-state-portal-2021-tree,1,1,219
13402058,Niederhambach,official-state-portal-2021-tree,1,1,219
13402061,Nohen,official-state-portal-2021-tree,1,1,219
13402062,Oberbrombach,official-state-portal-2021-tree,1,1,219
13402063,Oberhambach,official-state-portal-2021-tree,1,1,219
13402070,Rimsberg,official-state-portal-2021-tree,1,1,219
13402071,Rinzenberg,official-state-portal-2021-tree,1,1,219
13402072,Rötsweiler-Nockenthal,official-state-portal-2021-tree,1,1,219
13402078,Schmißberg,official-state-portal-2021-tree,1,1,219
13402080,Schwollen,official-state-portal-2021-tree,1,1,219
13402084,Siesbach,official-state-portal-2021-tree,1,1,219
13402085,Sonnenberg-Winnenberg,official-state-portal-2021-tree,1,1,219
13402094,Wilzenberg-Hußweiler,official-state-portal-2021-tree,1,1,219
13405003,Allenbach,official-state-portal-2021-tree,1,1,219
13405004,Asbach,official-state-portal-2021-tree,1,1,219
13405006,Bergen,official-state-portal-2021-tree,1,1,219
13405009,Berschweiler bei Kirn,official-state-portal-2021-tree,1,1,219
13405012,Bollenbach,official-state-portal-2021-tree,1,1,219
13405013,Breitenthal,official-state-portal-2021-tree,1,1,219
13405014,Bruchweiler,official-state-portal-2021-tree,1,1,219
13405017,Bundenbach,official-state-portal-2021-tree,1,1,219
13405019,Dickesbach,official-state-portal-2021-tree,1,1,219
13405025,Fischbach,official-state-portal-2021-tree,1,1,219
13405028,Gerach,official-state-portal-2021-tree,1,1,219
13405030,Gösenroth,official-state-portal-2021-tree,1,1,219
13405032,Griebelschied,official-state-portal-2021-tree,1,1,219
13405035,Hausen,official-state-portal-2021-tree,1,1,219
13405037,Hellertshausen,official-state-portal-2021-tree,1,1,219
13405038,Herborn,official-state-portal-2021-tree,1,1,219
13405039,Herrstein,official-state-portal-2021-tree,1,1,219
13405040,Hettenrodt,official-state-portal-2021-tree,1,1,219
13405041,Hintertiefenbach,official-state-portal-2021-tree,1,1,219
13405043,Horbruch,official-state-portal-2021-tree,1,1,219
13405044,Hottenbach,official-state-portal-2021-tree,1,1,219
13405046,Kempfeld,official-state-portal-2021-tree,1,1,219
13405047,Kirschweiler,official-state-portal-2021-tree,1,1,219
13405049,Krummenau,official-state-portal-2021-tree,1,1,219
13405052,Mackenrodt,official-state-portal-2021-tree,1,1,219
13405055,Mittelreidenbach,official-state-portal-2021-tree,1,1,219
13405056,Mörschied,official-state-portal-2021-tree,1,1,219
13405059,Niederhosenbach,official-state-portal-2021-tree,1,1,219
13405060,Niederwörresbach,official-state-portal-2021-tree,1,1,219
13405064,Oberhosenbach,official-state-portal-2021-tree,1,1,219
13405065,Oberkirn,official-state-portal-2021-tree,1,1,219
13405066,Oberreidenbach,official-state-portal-2021-tree,1,1,219
13405067,Oberwörresbach,official-state-portal-2021-tree,1,1,219
13405069,Rhaunen,official-state-portal-2021-tree,1,1,219
13405076,Schauren,official-state-portal-2021-tree,1,1,219
13405077,Schmidthachenbach,official-state-portal-2021-tree,1,1,219
13405079,Schwerbach,official-state-portal-2021-tree,1,1,219
13405081,Sensweiler,official-state-portal-2021-tree,1,1,219
13405082,Sien,official-state-portal-2021-tree,1,1,219
13405083,Sienhachenbach,official-state-portal-2021-tree,1,1,219
13405086,Sonnschied,official-state-portal-2021-tree,1,1,219
13405087,Stipshausen,official-state-portal-2021-tree,1,1,219
13405088,Sulzbach,official-state-portal-2021-tree,1,1,219
13405089,Veitsrodt,official-state-portal-2021-tree,1,1,219
13405090,Vollmersbach,official-state-portal-2021-tree,1,1,219
13405091,Weiden,official-state-portal-2021-tree,1,1,219
13405092,Weitersbach,official-state-portal-2021-tree,1,1,219
13405093,Wickenrodt,official-state-portal-2021-tree,1,1,219
13405095,Wirschweiler,official-state-portal-2021-tree,1,1,219
13405502,Langweiler,official-state-portal-2021-tree,1,1,219
13501007,Beilstein,official-state-portal-2021-tree,1,1,215
13501012,Bremm,official-state-portal-2021-tree,1,1,215
13501015,Briedern,official-state-portal-2021-tree,1,1,215
13501017,Bruttig-Fankel,official-state-portal-2021-tree,1,1,215
13501020,Cochem,official-state-portal-2021-tree,4,1,215
13501021,Dohr,official-state-portal-2021-tree,1,1,215
13501024,Ediger-Eller,official-state-portal-2021-tree,1,1,215
13501025,Ellenz-Poltersdorf,official-state-portal-2021-tree,1,1,215
13501027,Ernst,official-state-portal-2021-tree,1,1,215
13501029,Faid,official-state-portal-2021-tree,1,1,215
13501036,Greimersburg,official-state-portal-2021-tree,1,1,215
13501049,Klotten,official-state-portal-2021-tree,1,1,215
13501053,Lieg,official-state-portal-2021-tree,1,1,215
13501056,Lütz,official-state-portal-2021-tree,1,1,215
13501060,Mesenich,official-state-portal-2021-tree,1,1,215
13501065,Moselkern,official-state-portal-2021-tree,1,1,215
13501066,Müden (Mosel),official-state-portal-2021-tree,1,1,215
13501069,Nehren,official-state-portal-2021-tree,1,1,215
13501072,Pommern,official-state-portal-2021-tree,1,1,215
13501079,Senheim,official-state-portal-2021-tree,1,1,215
13501082,Treis-Karden,official-state-portal-2021-tree,1,1,215
13501086,Valwig,official-state-portal-2021-tree,1,1,215
13501090,Wirfus,official-state-portal-2021-tree,1,1,215
13502009,Binningen,official-state-portal-2021-tree,1,1,215
13502011,Brachtendorf,official-state-portal-2021-tree,1,1,215
13502014,Brieden,official-state-portal-2021-tree,1,1,215
13502016,Brohl,official-state-portal-2021-tree,1,1,215
13502022,Dünfus,official-state-portal-2021-tree,1,1,215
13502023,Düngenheim,official-state-portal-2021-tree,1,1,215
13502026,Eppenberg,official-state-portal-2021-tree,1,1,215
13502028,Eulgem,official-state-portal-2021-tree,1,1,215
13502031,Forst (Eifel),official-state-portal-2021-tree,1,1,215
13502033,Gamlen,official-state-portal-2021-tree,1,1,215
13502038,Hambuch,official-state-portal-2021-tree,1,1,215
13502040,Hauroth,official-state-portal-2021-tree,1,1,215
13502042,Illerich,official-state-portal-2021-tree,1,1,215
13502043,Kaifenheim,official-state-portal-2021-tree,1,1,215
13502044,Kail,official-state-portal-2021-tree,1,1,215
13502045,Kaisersesch,official-state-portal-2021-tree,1,1,215
13502046,Kalenborn,official-state-portal-2021-tree,1,1,215
13502051,Landkern,official-state-portal-2021-tree,1,1,215
13502052,Laubach,official-state-portal-2021-tree,1,1,215
13502058,Masburg,official-state-portal-2021-tree,1,1,215
13502062,Möntenich,official-state-portal-2021-tree,1,1,215
13502067,Müllenbach,official-state-portal-2021-tree,1,1,215
13502075,Roes,official-state-portal-2021-tree,1,1,215
13502084,Urmersbach,official-state-portal-2021-tree,1,1,215
13502093,Zettingen,official-state-portal-2021-tree,1,1,215
13502502,Leienkaul,official-state-portal-2021-tree,1,1,215
13503002,Alflen,official-state-portal-2021-tree,1,1,215
13503005,Auderath,official-state-portal-2021-tree,1,1,215
13503008,Beuren,official-state-portal-2021-tree,1,1,215
13503018,Büchel,official-state-portal-2021-tree,1,1,215
13503030,Filz,official-state-portal-2021-tree,1,1,215
13503034,Gevenich,official-state-portal-2021-tree,1,1,215
